code,vol,cost,value
300398,0,0,-1
300192,0,0,-1
300408,0,0,-1
002273,0,0,-1
300481,0,0,-1
002632,0,0,-1
002050,0,0,-1
002341,0,0,-1
300433,0,0,-1
002570,0,0,-1
300395,0,0,-1
603688,0,0,-1
300461,0,0,-1
300531,0,0,-1
300192,0,0,-1
