date,close,10d,30d
2018-06-21,5.43,6.069999999999986,6.347566666666665
2018-06-20,5.62,6.1719999999999855,6.384433333333331
2018-06-19,5.54,6.234999999999986,6.413866666666664
2018-06-15,6.14,6.3049999999999855,6.44003333333333
2018-06-14,6.33,6.3209999999999855,6.443099999999998
2018-06-13,6.35,6.300999999999986,6.441833333333331
2018-06-12,6.4,6.273999999999987,6.442099999999997
2018-06-11,6.23,6.266999999999986,6.46423333333333
2018-06-08,6.3,6.271999999999986,6.51823333333333
2018-06-07,6.36,6.2889999999999855,6.571199999999997
2018-06-06,6.45,6.3171999999999855,6.620199999999997
2018-06-05,6.25,6.344899999999987,6.657166666666664
2018-06-04,6.24,6.393299999999987,6.700799999999997
2018-06-01,6.3,6.437399999999987,6.757099999999997
2018-05-31,6.13,6.472199999999987,6.8085333333333296
2018-05-30,6.08,6.525299999999987,6.86673333333333
2018-05-29,6.33,6.5781999999999865,6.931433333333329
2018-05-28,6.28,6.612699999999987,6.9999333333333285
2018-05-25,6.47,6.642299999999987,7.0685333333333285
2018-05-24,6.642,6.664099999999988,7.134566666666661
2018-05-23,6.727,6.6554999999999875,7.199266666666661
2018-05-22,6.734,6.636399999999988,7.252766666666661
2018-05-21,6.681,6.613299999999988,7.305799999999993
2018-05-18,6.648,6.577699999999989,7.369833333333327
2018-05-17,6.6610000000000005,6.536099999999989,7.43606666666666
2018-05-16,6.609,6.499199999999989,7.50716666666666
2018-05-15,6.675,6.47409999999999,7.582433333333326
2018-05-14,6.5760000000000005,6.512999999999991,7.655033333333326
2018-05-11,6.688,6.64039999999999,7.74216666666666
2018-05-10,6.556,6.760499999999989,7.816333333333327
2018-05-09,6.5360000000000005,6.8878999999999895,7.888299999999993
2018-05-08,6.502999999999999,6.990199999999989,7.974133333333326
2018-05-07,6.325,7.095799999999988,8.06106666666666
2018-05-04,6.232,7.256199999999988,8.156333333333327
2018-05-03,6.292000000000001,7.4172999999999885,8.260433333333326
2018-05-02,6.358,7.575699999999989,8.348899999999993
2018-04-27,7.064,7.7419999999999884,8.442199999999993
2018-04-26,7.85,7.87409999999999,8.512199999999991
2018-04-25,7.888999999999999,7.92289999999999,8.556633333333325
2018-04-24,7.83,7.97909999999999,8.590766666666658
2018-04-23,7.559,8.05439999999999,8.619599999999991
2018-04-20,7.559,8.131699999999991,8.657666666666659
2018-04-19,7.928999999999999,8.20829999999999,8.69419999999999
2018-04-18,7.843,8.275599999999992,8.72479999999999
2018-04-17,7.876,8.354799999999992,8.74659999999999
2018-04-16,8.021,8.446599999999991,8.767966666666657
2018-04-13,8.385,8.531199999999991,8.790633333333323
2018-04-12,8.338,8.57799999999999,8.774766666666657
2018-04-11,8.451,8.663199999999991,8.736499999999989
2018-04-10,8.583,8.70939999999999,8.692466666666656
2018-04-09,8.332,8.72259999999999,8.63963333333332
2018-04-04,8.325,8.80049999999999,8.597799999999987
2018-04-03,8.602,8.87909999999999,8.554899999999988
2018-04-02,8.635,8.937199999999992,8.501666666666654
2018-03-30,8.794,9.009199999999991,8.449299999999988
2018-03-29,8.867,9.024399999999991,8.386366666666655
