code,name,industry,area,pe,cur_bi,cur_profit
002127,南极电商,互联网,江苏,27.13,440.67,53.4
603496,恒为科技,电脑设备,上海,27.16,54.55,68.18
300632,光莆股份,半导体,福建,22.95,46.26,117.65
300365,恒华科技,软件服务,北京,56.64,42.68,58.33
002099,海翔药业,化学制药,浙江,12.5,41.3,392.86
600383,金地集团,全国地产,深圳,7.71,125.67,155.24
600533,栖霞建设,区域地产,江苏,21.83,282.55,542.86
300363,博腾股份,化学制药,重庆,55.48,38.56,500.0
002550,千红制药,生物制药,江苏,16.05,37.08,74.07
603260,合盛硅业,化工原料,浙江,10.85,72.46,94.42
300525,博思软件,软件服务,福建,0.0,101.79,100.0
002728,特一药业,中成药,广东,16.34,31.14,70.37
002001,新 和 成,化学制药,浙江,7.23,39.35,52.06
002853,皮阿诺,家居用品,广东,28.7,39.17,51.43
300382,斯莱克,专用机械,江苏,28.84,56.96,133.33
300368,汇金股份,专用机械,河北,159.88,49.61,4100.0
300346,南大光电,元器件,江苏,45.52,47.37,90.91
300232,洲明科技,半导体,深圳,16.86,54.57,56.41
603638,艾迪精密,专用机械,山东,29.65,50.0,55.88
600162,香江控股,全国地产,深圳,49.13,112.75,73.98
600352,浙江龙盛,染料涂料,浙江,7.57,45.84,53.78
603357,设计总院,建筑施工,安徽,11.59,31.68,92.45
002622,融钰集团,电气设备,吉林,601.7,125.0,157.14
002393,力生制药,化学制药,天津,27.12,39.08,63.64
600025,华能水电,水力发电,云南,26.05,84.46,1335.42
300089,文化长城,陶瓷,广东,27.75,148.65,171.88
002392,北京利尔,其他建材,北京,10.23,96.54,96.67
600641,万业企业,区域地产,上海,4.22,115.49,68.42
600657,信达地产,全国地产,北京,18.54,47.43,961.67
300496,中科创达,软件服务,北京,73.24,37.77,180.0
601360,三六零,互联网,江苏,47.11,496.52,5052.63
600736,苏州高新,园区开发,江苏,8.99,128.18,88.89
601016,节能风电,新型电力,北京,13.96,44.91,133.33
603300,华铁科技,钢加工,浙江,27.13,54.64,344.44
002605,姚记扑克,文教休闲,上海,27.31,72.09,100.0
603029,天鹅股份,农用机械,山东,0.0,31.58,inf
002097,山河智能,工程机械,湖南,10.14,52.15,230.0
300035,中科电气,电气设备,湖南,23.23,54.63,83.33
603811,诚意药业,化学制药,浙江,23.27,89.74,62.5
