code,pre_bi,cur_bi,pre_profit,cur_profit
002798,936.99,675.33,2100.0,413.64
002226,83.59,80.29,37.5,76.36
002640,74.42,79.77,65.41,56.41
002038,93.83,125.42,43.31,58.49
002803,126.88,167.16,111.11,463.64
002438,62.09,54.76,46.67,63.64
002118,92.22,81.32,288.57,88.0
002422,61.54,53.91,98.45,510.94
002233,34.91,69.9,173.53,180.0
002632,74.1,83.62,125.0,63.16
002373,170.63,239.66,60.32,98.92
002849,74.16,106.54,57.14,61.54
