,name,type,report_date,pre_eps,range,industry,area,pe,cur_bi,cur_profit
61,星辉娱乐,预降,2018-10-12,0.2,-20%~0%,文教休闲,广东,13.4,46.88,138.3
62,高能环境,预增,2018-10-12,0.195,70%~100%,环境保护,北京,16.92,50.86,92.06
63,精测电子,预增,2018-10-11,1.4,62.17%~74.38%,电器仪表,湖北,40.88,84.44,119.35
64,太辰光,预升,2018-10-11,0.3401,30.41%~38.08%,元器件,深圳,27.64,33.06,51.85
65,太龙照明,预升,2018-10-11,0.72,10%~30%,电气设备,福建,32.58,56.94,55.56
66,康跃科技,预增,2018-10-11,0.2856,86.56%~105.21%,机械基件,山东,15.61,31.96,74.19
67,华新水泥,预增,2018-10-11,0.7,220%~230%,水泥,湖北,7.66,34.12,142.97
68,诚意药业,预增,2018-10-11,0.58,51.3%~57.8%,化学制药,浙江,23.27,93.94,68.75
69,同有科技,预增,2018-10-11,0.0421,30%~50%,软件服务,北京,79.39,89.83,inf
70,田中精机,预增,2018-10-11,0.33,314.63%~344%,专用机械,浙江,34.37,93.75,414.29
71,欧普康视,预增,2018-10-11,0.95,35%~55%,医疗保健,安徽,44.91,56.45,54.84
72,利安隆,预升,2018-10-10,0.5286,38.45%~46.14%,化工原料,天津,25.6,41.3,88.89
73,万年青,预增,2018-10-10,0.3816,255%~285%,水泥,江西,7.58,49.18,255.56
74,普利制药,预增,2018-10-10,0.54,80%~100%,化学制药,海南,72.17,91.46,85.71
75,泰格医药,预增,2018-10-10,0.4006,45%~65%,医疗保健,浙江,51.84,44.33,61.84
76,北京君正,预增,2018-10-10,0.0412,180.35%~209.2%,半导体,北京,158.75,53.66,350.0
77,扬帆新材,预增,2018-10-10,0.45,115%~135%,化工原料,浙江,22.09,36.0,207.69
78,长春高新,预增,2018-10-09,2.86,60%~90%,生物制药,吉林,28.33,100.0,141.43
79,艾比森,预增,2018-10-09,0.1749,214%~223%,半导体,深圳,23.73,60.63,268.18
80,智飞生物,预增,2018-10-09,0.1783,268.12%~297.92%,生物制药,重庆,47.26,336.04,281.08
81,古井贡酒,预增,2018-10-09,1.58,50%~70%,白酒,安徽,20.87,48.5,120.57
82,三联虹普,预增,2018-10-09,0.4639,50%~60%,纺织机械,北京,27.64,172.22,60.0
83,先河环保,预增,2018-10-09,0.27399999999999997,50%~70%,环境保护,河北,26.33,38.84,58.33
84,日机密封,预增,2018-10-09,0.7331,55%~68%,机械基件,四川,30.98,44.17,59.26
85,佳发教育,预增,2018-10-09,0.5522,89.17%~96.73%,软件服务,四川,50.62,103.28,90.91
86,文化长城,预增,2018-10-08,0.1148,120%~150%,陶瓷,广东,27.75,158.26,281.82
87,通源石油,预增,2018-10-08,0.0245,789.3%~835.14%,石油开采,陕西,29.22,142.33,244.44
