code,name,industry,area,pe,cur_bi,cur_profit
000029,深深房Ａ,区域地产,深圳,17.17,154.47,225.24
300472,新元科技,专用机械,北京,56.45,46.99,150.0
300121,阳谷华泰,化工原料,山东,8.32,40.96,153.19
002127,南极电商,互联网,江苏,27.13,301.1,78.07
603496,恒为科技,电脑设备,上海,27.16,71.43,68.75
300365,恒华科技,软件服务,北京,56.64,58.25,53.66
600633,浙数文化,互联网,浙江,16.89,91.18,261.67
603588,高能环境,环境保护,北京,16.92,50.86,92.06
300176,鸿特科技,汽车配件,广东,16.35,96.89,384.85
300685,艾德生物,生物制药,福建,55.23,31.03,60.71
600565,迪马股份,全国地产,重庆,16.89,41.46,161.54
300651,金陵体育,文教休闲,江苏,106.53,70.49,57.14
300298,三诺生物,医疗保健,湖南,21.72,72.97,73.47
603260,合盛硅业,化工原料,浙江,10.85,84.04,188.34
300470,日机密封,机械基件,四川,30.98,44.17,59.26
300232,洲明科技,半导体,深圳,16.86,72.94,71.26
300546,雄帝科技,元器件,深圳,42.38,60.87,100.0
603869,新智认知,旅游服务,广西,19.44,30.27,75.64
603638,艾迪精密,专用机械,山东,29.65,70.83,91.89
300500,启迪设计,建筑施工,江苏,28.87,75.59,52.17
600352,浙江龙盛,染料涂料,浙江,7.57,38.03,111.33
603357,设计总院,建筑施工,安徽,11.59,58.02,164.0
600663,陆家嘴,园区开发,上海,12.3,72.73,63.78
300089,文化长城,陶瓷,广东,27.75,158.26,281.82
002392,北京利尔,其他建材,北京,10.23,32.42,175.0
603601,再升科技,玻璃,重庆,20.9,160.63,62.96
300177,中海达,通信设备,广东,41.59,42.74,63.16
300259,新天科技,电器仪表,河南,27.6,44.36,110.53
000042,中洲控股,全国地产,深圳,8.24,104.06,261.6
601360,三六零,互联网,江苏,47.11,514.07,10490.0
600516,方大炭素,矿物制品,甘肃,5.33,128.46,276.33
000812,陕西金叶,广告包装,陕西,43.57,36.07,200.0
002605,姚记扑克,文教休闲,上海,27.31,80.77,200.0
603679,华体科技,电气设备,四川,35.15,52.08,122.22
002097,山河智能,工程机械,湖南,10.14,82.79,1353.85
300315,掌趣科技,互联网,北京,13.12,78.92,137.14
002675,东诚药业,化学制药,山东,28.16,42.01,64.29
603811,诚意药业,化学制药,浙江,23.27,93.94,68.75
002360,同德化工,化工原料,山西,12.08,116.31,186.96
002837,英维克,专用机械,深圳,29.3,60.87,57.69
300313,天山生物,农业综合,新疆,95.17,269.39,171.43
300043,星辉娱乐,文教休闲,广东,13.4,46.88,138.3
600466,蓝光发展,区域地产,四川,10.35,49.47,93.9
300311,任子行,软件服务,广东,24.9,39.58,80.0
002693,双成药业,化学制药,海南,0.0,138.24,66.67
300506,名家汇,建筑施工,深圳,14.9,214.47,206.38
300556,丝路视觉,软件服务,深圳,25.88,32.91,76.67
002413,雷科防务,通信设备,江苏,40.18,49.72,66.67
600136,当代明诚,影视音像,湖北,22.16,319.42,165.0
002176,江特电机,电气设备,江西,14.44,34.43,529.41
300164,通源石油,石油开采,陕西,29.22,142.33,244.44
000517,荣安地产,区域地产,浙江,19.88,46.93,78.51
000009,中国宝安,综合类,深圳,36.75,38.49,70.21
300467,迅游科技,互联网,四川,23.23,297.78,246.67
300203,聚光科技,环境保护,浙江,28.01,32.65,52.87
300107,建新股份,化工原料,河北,12.31,173.33,1026.67
002635,安洁科技,电脑设备,江苏,16.6,95.84,74.03
603988,中电电机,电气设备,江苏,42.46,98.44,122.22
603023,威帝股份,汽车配件,黑龙江,25.28,86.21,88.89
000553,沙隆达Ａ,农药化肥,湖北,5.95,705.8,200.91
603799,华友钴业,小金属,浙江,11.01,64.23,55.32
600696,ST岩石,区域地产,上海,41.3,71.43,133.33
000863,三湘印象,区域地产,上海,68.32,190.32,1571.43
002614,奥佳华,医疗保健,福建,28.09,30.12,58.9
300223,北京君正,半导体,北京,158.75,53.66,350.0
300466,赛摩电气,电器仪表,江苏,72.18,59.76,366.67
600230,沧州大化,农药化肥,河北,5.04,32.67,60.17
300364,中文在线,出版业,北京,35.82,46.6,176.67
000557,西部创业,铁路,宁夏,58.32,40.0,123.08
600658,电子城,园区开发,北京,7.45,339.53,363.46
300085,银之杰,软件服务,深圳,2373.85,37.31,466.67
000058,深 赛 格,元器件,深圳,25.37,78.91,94.44
000566,海南海药,化学制药,海南,23.1,38.94,63.83
300302,同有科技,软件服务,北京,79.39,89.83,inf
300411,金盾股份,专用机械,浙江,45.19,88.04,172.73
601619,嘉泽新能,新型电力,宁夏,27.01,39.91,77.05
002669,康达新材,化工原料,上海,30.94,63.28,114.29
002359,北讯集团,钢加工,深圳,16.06,151.01,406.45
002095,生 意 宝,互联网,浙江,98.48,44.94,114.29
002118,紫鑫药业,中成药,吉林,9.6,81.32,88.0
000661,长春高新,生物制药,吉林,28.33,100.0,141.43
